Country,Appearances,Best performance
Slovakia,1.0,Round of 16 
Slovenia,2.0,Group stage
Solomon Islands,0.0,Never participated
Somalia,0.0,Never participated
South Africa,3.0,Group stage
South Georgia and South Sandwich Islands,0.0,Never participated
South Korea,11.0,Fourth place 
South Sudan,0.0,Never participated
Spain,16.0,Champions 
Sri Lanka,0.0,Never participated
Sudan,0.0,Never participated
Suriname,0.0,Never participated
Svalbard,0.0,Never participated
Sweden,12.0,Runners-up 
Switzerland,12.0,Quarterfinals 
Syria,0.0,Never participated
Tajikistan,0.0,Never participated
Tanzania,0.0,Never participated
Thailand,0.0,Never participated
Timor-Leste,0.0,Never participated
Togo,1.0,Group stage
Tokelau,0.0,Never participated
Tonga,0.0,Never participated
Trinidad and Tobago,1.0,Group stage
Tunisia,6.0,Group stage
Turkiye,0.0,Never participated
Turkmenistan,0.0,Never participated
Turks and Caicos Islands,0.0,Never participated
Tuvalu,0.0,Never participated
Uganda,0.0,Never participated
Ukraine,1.0,Quarterfinals 
United Arab Emirates,1.0,Group stage
United Kingdom,0.0,Never participated
United States,12.0,Third place 
United States Minor Outlying Islands,0.0,Never participated
Uruguay,14.0,Champions 
US Virgin Islands,0.0,Never participated
Uzbekistan,0.0,Never participated
Vanuatu,0.0,Never participated
Vatican City,0.0,Never participated
Venezuela,0.0,Never participated
Vietnam,0.0,Never participated
Wallis and Futuna,0.0,Never participated
Yemen,0.0,Never participated
Zambia,0.0,Never participated
Zimbabwe,0.0,Never participated
