,Relative_Date,Stock markets,Values
1485,-52,Values_ES,3.68%
1869,-52,Values_IT,0.18%
2253,-52,Values_BRA,-1.54%
332,-51,Values_ARG,0.74%
716,-51,Values_FR,0.74%
1100,-51,Values_DE,0.61%
1484,-51,Values_ES,-2.61%
1868,-51,Values_IT,-2.85%
2252,-51,Values_BRA,2.61%
331,-50,Values_ARG,2.12%
715,-50,Values_FR,2.12%
1099,-50,Values_DE,0.24%
1483,-50,Values_ES,-1.13%
1867,-50,Values_IT,-0.10%
2251,-50,Values_BRA,-4.52%
329,-49,Values_ARG,-0.18%
713,-49,Values_FR,-0.61%
1097,-49,Values_DE,0.48%
1481,-49,Values_ES,1.48%
1865,-49,Values_IT,0.57%
2249,-49,Values_BRA,1.26%
328,-48,Values_ARG,1.26%
712,-48,Values_FR,-1.29%
1096,-48,Values_DE,-1.29%
1480,-48,Values_ES,-1.29%
1864,-48,Values_IT,-1.29%
2248,-48,Values_BRA,-1.29%
327,-47,Values_ARG,-1.29%
711,-47,Values_FR,-0.20%
1095,-47,Values_DE,-0.20%
1479,-47,Values_ES,-0.20%
1863,-47,Values_IT,-0.20%
2247,-47,Values_BRA,-0.20%
326,-46,Values_ARG,1.42%
710,-46,Values_FR,-0.53%
1094,-46,Values_DE,1.28%
1478,-46,Values_ES,-1.27%
1862,-46,Values_IT,-3.76%
2246,-46,Values_BRA,-1.63%
325,-45,Values_ARG,2.04%
709,-45,Values_FR,1.24%
1093,-45,Values_DE,0.49%
1477,-45,Values_ES,-3.05%
1861,-45,Values_IT,1.82%
2245,-45,Values_BRA,2.12%
324,-44,Values_ARG,-2.41%
708,-44,Values_FR,-2.41%
1092,-44,Values_DE,-0.02%
1476,-44,Values_ES,0.42%
1860,-44,Values_IT,-0.65%
2244,-44,Values_BRA,0.88%
323,-43,Values_ARG,0.76%
707,-43,Values_FR,0.76%
1091,-43,Values_DE,0.00%
1475,-43,Values_ES,3.23%
1859,-43,Values_IT,1.45%
2243,-43,Values_BRA,2.63%
322,-42,Values_ARG,0.54%
706,-42,Values_FR,0.14%
1090,-42,Values_DE,0.04%
1474,-42,Values_ES,0.97%
1858,-42,Values_IT,1.18%
2242,-42,Values_BRA,0.12%
321,-41,Values_ARG,0.12%
705,-41,Values_FR,-0.22%
1089,-41,Values_DE,-0.22%
1473,-41,Values_ES,-0.22%
1857,-41,Values_IT,-0.22%
2241,-41,Values_BRA,-0.22%
320,-40,Values_ARG,-0.22%
704,-40,Values_FR,-0.06%
1088,-40,Values_DE,-0.06%
1472,-40,Values_ES,-0.06%
1856,-40,Values_IT,-0.06%
2240,-40,Values_BRA,-0.06%
318,-39,Values_ARG,-2.27%
702,-39,Values_FR,-0.17%
1086,-39,Values_DE,0.07%
1470,-39,Values_ES,-0.70%
1854,-39,Values_IT,-0.07%
2238,-39,Values_BRA,-0.56%
317,-38,Values_ARG,0.06%
701,-38,Values_FR,0.03%
1085,-38,Values_DE,-0.31%
1469,-38,Values_ES,-0.64%
1853,-38,Values_IT,-2.18%
2237,-38,Values_BRA,0.35%
316,-37,Values_ARG,-3.27%
700,-37,Values_FR,-3.27%
1084,-37,Values_DE,0.07%
1468,-37,Values_ES,-0.34%
1852,-37,Values_IT,1.83%
2236,-37,Values_BRA,-2.95%
315,-36,Values_ARG,1.25%
699,-36,Values_FR,1.25%
1083,-36,Values_DE,0.21%
1467,-36,Values_ES,0.09%
1851,-36,Values_IT,0.39%
2235,-36,Values_BRA,1.27%
314,-35,Values_ARG,3.82%
698,-35,Values_FR,0.43%
1082,-35,Values_DE,0.40%
1466,-35,Values_ES,-3.80%
1850,-35,Values_IT,-0.17%
2234,-35,Values_BRA,0.01%
313,-34,Values_ARG,0.01%
697,-34,Values_FR,-0.38%
1081,-34,Values_DE,-0.38%
1465,-34,Values_ES,-0.38%
1849,-34,Values_IT,-0.38%
2233,-34,Values_BRA,-0.38%
312,-33,Values_ARG,-0.38%
696,-33,Values_FR,-0.01%
1080,-33,Values_DE,-0.01%
1464,-33,Values_ES,-0.01%
1848,-33,Values_IT,-0.01%
2232,-33,Values_BRA,-0.01%
311,-32,Values_ARG,1.51%
695,-32,Values_FR,1.39%
1079,-32,Values_DE,0.21%
1463,-32,Values_ES,-1.44%
1847,-32,Values_IT,-0.18%
2231,-32,Values_BRA,1.70%
310,-31,Values_ARG,1.62%
694,-31,Values_FR,-0.48%
1078,-31,Values_DE,0.20%
1462,-31,Values_ES,-1.43%
1846,-31,Values_IT,-1.85%
2230,-31,Values_BRA,-0.03%
309,-30,Values_ARG,-0.68%
693,-30,Values_FR,-0.68%
1077,-30,Values_DE,-0.79%
1461,-30,Values_ES,2.29%
1845,-30,Values_IT,0.93%
2229,-30,Values_BRA,2.11%
307,-29,Values_ARG,0.75%
691,-29,Values_FR,0.75%
1075,-29,Values_DE,-0.11%
1459,-29,Values_ES,3.72%
1843,-29,Values_IT,-2.26%
2227,-29,Values_BRA,-2.26%
306,-28,Values_ARG,1.28%
690,-28,Values_FR,-0.93%
1074,-28,Values_DE,-0.26%
1458,-28,Values_ES,3.95%
1842,-28,Values_IT,1.47%
2226,-28,Values_BRA,-0.58%
305,-27,Values_ARG,-0.58%
689,-27,Values_FR,-1.10%
1073,-27,Values_DE,-1.10%
1457,-27,Values_ES,-1.10%
1841,-27,Values_IT,-1.10%
2225,-27,Values_BRA,-1.10%
304,-26,Values_ARG,-1.10%
688,-26,Values_FR,-0.34%
1072,-26,Values_DE,-0.34%
1456,-26,Values_ES,-0.34%
1840,-26,Values_IT,-0.34%
2224,-26,Values_BRA,-0.34%
303,-25,Values_ARG,-0.34%
687,-25,Values_FR,-1.05%
1071,-25,Values_DE,-0.29%
1455,-25,Values_ES,0.23%
1839,-25,Values_IT,-1.12%
2223,-25,Values_BRA,-2.18%
302,-24,Values_ARG,0.58%
686,-24,Values_FR,1.34%
1070,-24,Values_DE,0.37%
1454,-24,Values_ES,1.65%
1838,-24,Values_IT,-1.40%
2222,-24,Values_BRA,-0.71%
301,-23,Values_ARG,0.25%
685,-23,Values_FR,0.25%
1069,-23,Values_DE,0.10%
1453,-23,Values_ES,-0.60%
1837,-23,Values_IT,-0.22%
2221,-23,Values_BRA,0.58%
300,-22,Values_ARG,1.50%
684,-22,Values_FR,1.50%
1068,-22,Values_DE,0.74%
1452,-22,Values_ES,0.74%
1836,-22,Values_IT,1.93%
2220,-22,Values_BRA,-4.13%
299,-21,Values_ARG,1.73%
683,-21,Values_FR,-1.92%
1067,-21,Values_DE,-0.17%
1451,-21,Values_ES,2.22%
1835,-21,Values_IT,-0.82%
2219,-21,Values_BRA,1.43%
298,-20,Values_ARG,1.43%
682,-20,Values_FR,-0.05%
1066,-20,Values_DE,-0.05%
1450,-20,Values_ES,-0.05%
1834,-20,Values_IT,-0.05%
2218,-20,Values_BRA,-0.05%
287,-19,Values_ARG,-0.05%
671,-19,Values_FR,0.87%
1055,-19,Values_DE,0.87%
1439,-19,Values_ES,0.87%
1823,-19,Values_IT,0.87%
2207,-19,Values_BRA,0.87%
276,-18,Values_ARG,0.34%
660,-18,Values_FR,-0.97%
1044,-18,Values_DE,-0.66%
1428,-18,Values_ES,1.00%
1812,-18,Values_IT,-0.22%
2196,-18,Values_BRA,2.06%
265,-17,Values_ARG,2.38%
649,-17,Values_FR,0.91%
1033,-17,Values_DE,0.17%
1417,-17,Values_ES,-0.55%
1801,-17,Values_IT,0.58%
2185,-17,Values_BRA,-2.86%
254,-16,Values_ARG,0.20%
638,-16,Values_FR,0.20%
1022,-16,Values_DE,-0.71%
1406,-16,Values_ES,-1.30%
1790,-16,Values_IT,0.41%
2174,-16,Values_BRA,0.00%
243,-15,Values_ARG,1.23%
627,-15,Values_FR,1.23%
1011,-15,Values_DE,-0.64%
1395,-15,Values_ES,-3.03%
1779,-15,Values_IT,0.32%
2163,-15,Values_BRA,0.45%
232,-14,Values_ARG,-0.53%
616,-14,Values_FR,-0.88%
1000,-14,Values_DE,0.10%
1384,-14,Values_ES,-0.54%
1768,-14,Values_IT,0.34%
2152,-14,Values_BRA,-2.15%
221,-13,Values_ARG,-2.15%
605,-13,Values_FR,0.76%
989,-13,Values_DE,0.76%
1373,-13,Values_ES,0.76%
1757,-13,Values_IT,0.76%
2141,-13,Values_BRA,0.76%
210,-12,Values_ARG,0.76%
594,-12,Values_FR,0.07%
978,-12,Values_DE,0.07%
1362,-12,Values_ES,0.07%
1746,-12,Values_IT,0.07%
2130,-12,Values_BRA,0.07%
199,-11,Values_ARG,-3.08%
583,-11,Values_FR,0.86%
967,-11,Values_DE,0.18%
1351,-11,Values_ES,1.61%
1735,-11,Values_IT,-0.42%
2119,-11,Values_BRA,2.15%
188,-10,Values_ARG,2.20%
572,-10,Values_FR,0.18%
956,-10,Values_DE,0.71%
1340,-10,Values_ES,-5.45%
1724,-10,Values_IT,-0.55%
2108,-10,Values_BRA,-1.45%
373,-9,Values_ARG,1.84%
757,-9,Values_FR,1.84%
1141,-9,Values_DE,0.09%
1525,-9,Values_ES,1.12%
1909,-9,Values_IT,0.34%
2293,-9,Values_BRA,-2.68%
362,-8,Values_ARG,-2.68%
746,-8,Values_FR,-2.68%
1130,-8,Values_DE,1.19%
1514,-8,Values_ES,-0.92%
1898,-8,Values_IT,1.48%
2282,-8,Values_BRA,-5.07%
352,-7,Values_ARG,-5.07%
736,-7,Values_FR,0.42%
1120,-7,Values_DE,-0.20%
1504,-7,Values_ES,0.79%
1888,-7,Values_IT,1.12%
2272,-7,Values_BRA,-4.67%
341,-6,Values_ARG,-4.67%
725,-6,Values_FR,0.67%
1109,-6,Values_DE,0.67%
1493,-6,Values_ES,0.67%
1877,-6,Values_IT,0.67%
2261,-6,Values_BRA,0.67%
330,-5,Values_ARG,0.67%
714,-5,Values_FR,-1.48%
1098,-5,Values_DE,-1.48%
1482,-5,Values_ES,-1.48%
1866,-5,Values_IT,-1.48%
2250,-5,Values_BRA,-1.48%
319,-4,Values_ARG,-2.75%
703,-4,Values_FR,0.97%
1087,-4,Values_DE,-1.03%
1471,-4,Values_ES,0.33%
1855,-4,Values_IT,0.61%
2239,-4,Values_BRA,3.77%
308,-3,Values_ARG,-0.58%
692,-3,Values_FR,0.43%
1076,-3,Values_DE,-1.35%
1460,-3,Values_ES,3.59%
1844,-3,Values_IT,0.20%
2228,-3,Values_BRA,-2.22%
297,-2,Values_ARG,-0.78%
681,-2,Values_FR,-0.78%
1065,-2,Values_DE,0.36%
1449,-2,Values_ES,3.87%
1833,-2,Values_IT,-1.45%
2217,-2,Values_BRA,0.39%
187,-1,Values_ARG,0.31%
571,-1,Values_FR,0.31%
955,-1,Values_DE,-1.52%
1339,-1,Values_ES,0.93%
1723,-1,Values_IT,0.90%
2107,-1,Values_BRA,2.97%
0,0,Values_ARG,0.23%
384,0,Values_FR,-0.36%
768,0,Values_DE,0.07%
1152,0,Values_ES,0.46%
1536,0,Values_IT,-0.27%
1920,0,Values_BRA,1.93%
1,1,Values_ARG,1.93%
385,1,Values_FR,0.24%
769,1,Values_DE,0.24%
1153,1,Values_ES,0.24%
1537,1,Values_IT,0.24%
1921,1,Values_BRA,0.24%
99,2,Values_ARG,0.24%
483,2,Values_FR,0.46%
867,2,Values_DE,0.46%
1251,2,Values_ES,0.46%
1635,2,Values_IT,0.46%
2019,2,Values_BRA,0.46%
110,3,Values_ARG,2.34%
494,3,Values_FR,-0.56%
878,3,Values_DE,1.21%
1262,3,Values_ES,-0.68%
1646,3,Values_IT,0.42%
2030,3,Values_BRA,-3.77%
121,4,Values_ARG,1.99%
505,4,Values_FR,-0.35%
889,4,Values_DE,-0.65%
1273,4,Values_ES,2.00%
1657,4,Values_IT,-1.03%
2041,4,Values_BRA,-0.18%
132,5,Values_ARG,4.36%
516,5,Values_FR,4.36%
900,5,Values_DE,1.44%
1284,5,Values_ES,0.19%
1668,5,Values_IT,0.24%
2052,5,Values_BRA,-1.41%
143,6,Values_ARG,1.45%
527,6,Values_FR,1.45%
911,6,Values_DE,-1.07%
1295,6,Values_ES,-1.15%
1679,6,Values_IT,-1.44%
2063,6,Values_BRA,-0.33%
154,7,Values_ARG,2.92%
538,7,Values_FR,-0.37%
922,7,Values_DE,-0.35%
1306,7,Values_ES,-1.66%
1690,7,Values_IT,-0.92%
2074,7,Values_BRA,-1.65%
165,8,Values_ARG,-1.65%
549,8,Values_FR,1.04%
933,8,Values_DE,1.04%
1317,8,Values_ES,1.04%
1701,8,Values_IT,1.04%
2085,8,Values_BRA,1.04%
176,9,Values_ARG,1.04%
560,9,Values_FR,-0.14%
944,9,Values_DE,-0.14%
1328,9,Values_ES,-0.14%
1712,9,Values_IT,-0.14%
2096,9,Values_BRA,-0.14%
2,10,Values_ARG,2.50%
386,10,Values_FR,1.00%
770,10,Values_DE,-1.11%
1154,10,Values_ES,-0.62%
1538,10,Values_IT,-0.45%
1922,10,Values_BRA,2.27%
13,11,Values_ARG,1.59%
397,11,Values_FR,0.57%
781,11,Values_DE,1.27%
1165,11,Values_ES,1.32%
1549,11,Values_IT,-0.29%
1933,11,Values_BRA,-0.29%
24,12,Values_ARG,3.59%
408,12,Values_FR,3.59%
792,12,Values_DE,0.20%
1176,12,Values_ES,-0.20%
1560,12,Values_IT,2.27%
1944,12,Values_BRA,-1.69%
35,13,Values_ARG,-1.58%
419,13,Values_FR,-1.58%
803,13,Values_DE,0.42%
1187,13,Values_ES,2.61%
1571,13,Values_IT,-0.26%
1955,13,Values_BRA,2.84%
46,14,Values_ARG,1.37%
430,14,Values_FR,-0.37%
814,14,Values_DE,-1.53%
1198,14,Values_ES,0.83%
1582,14,Values_IT,-0.82%
1966,14,Values_BRA,1.03%
57,15,Values_ARG,1.03%
441,15,Values_FR,0.37%
825,15,Values_DE,0.37%
1209,15,Values_ES,0.37%
1593,15,Values_IT,0.37%
1977,15,Values_BRA,0.37%
68,16,Values_ARG,0.37%
452,16,Values_FR,-0.23%
836,16,Values_DE,-0.23%
1220,16,Values_ES,-0.23%
1604,16,Values_IT,-0.23%
1988,16,Values_BRA,-0.23%
76,17,Values_ARG,2.46%
460,17,Values_FR,-0.68%
844,17,Values_DE,-0.48%
1228,17,Values_ES,1.14%
1612,17,Values_IT,1.58%
1996,17,Values_BRA,-3.25%
84,18,Values_ARG,-4.20%
468,18,Values_FR,0.33%
852,18,Values_DE,0.58%
1236,18,Values_ES,1.32%
1620,18,Values_IT,-0.33%
2004,18,Values_BRA,-0.88%
93,19,Values_ARG,1.36%
477,19,Values_FR,1.36%
861,19,Values_DE,-0.62%
1245,19,Values_ES,-0.01%
1629,19,Values_IT,0.47%
2013,19,Values_BRA,2.29%
100,20,Values_ARG,4.27%
484,20,Values_FR,4.27%
868,20,Values_DE,-1.94%
1252,20,Values_ES,0.15%
1636,20,Values_IT,0.81%
2020,20,Values_BRA,0.55%
101,21,Values_ARG,1.98%
485,21,Values_FR,-0.03%
869,21,Values_DE,-2.10%
1253,21,Values_ES,-1.50%
1637,21,Values_IT,0.61%
2021,21,Values_BRA,-2.34%
102,22,Values_ARG,-2.34%
486,22,Values_FR,0.81%
870,22,Values_DE,0.81%
1254,22,Values_ES,0.81%
1638,22,Values_IT,0.81%
2022,22,Values_BRA,0.81%
103,23,Values_ARG,0.81%
487,23,Values_FR,-0.35%
871,23,Values_DE,-0.35%
1255,23,Values_ES,-0.35%
1639,23,Values_IT,-0.35%
2023,23,Values_BRA,-0.35%
104,24,Values_ARG,0.90%
488,24,Values_FR,0.01%
872,24,Values_DE,-0.61%
1256,24,Values_ES,3.20%
1640,24,Values_IT,-0.31%
2024,24,Values_BRA,-6.39%
105,25,Values_ARG,0.04%
489,25,Values_FR,-1.59%
873,25,Values_DE,0.39%
1257,25,Values_ES,0.33%
1641,25,Values_IT,-0.86%
2025,25,Values_BRA,-1.15%
106,26,Values_ARG,4.09%
490,26,Values_FR,4.09%
874,26,Values_DE,-0.65%
1258,26,Values_ES,-0.26%
1642,26,Values_IT,1.23%
2026,26,Values_BRA,1.69%
107,27,Values_ARG,4.24%
491,27,Values_FR,4.24%
875,27,Values_DE,-1.00%
1259,27,Values_ES,-0.03%
1643,27,Values_IT,-0.72%
2027,27,Values_BRA,-2.83%
108,28,Values_ARG,3.42%
492,28,Values_FR,-0.04%
876,28,Values_DE,-0.33%
1260,28,Values_ES,-1.74%
1644,28,Values_IT,1.16%
2028,28,Values_BRA,-5.05%
109,29,Values_ARG,-5.05%
493,29,Values_FR,-0.16%
877,29,Values_DE,-0.16%
1261,29,Values_ES,-0.16%
1645,29,Values_IT,-0.16%
2029,29,Values_BRA,-0.16%
111,30,Values_ARG,-0.16%
495,30,Values_FR,-1.82%
879,30,Values_DE,-1.82%
1263,30,Values_ES,-1.82%
1647,30,Values_IT,-1.82%
2031,30,Values_BRA,-1.82%
112,31,Values_ARG,3.47%
496,31,Values_FR,0.83%
880,31,Values_DE,1.90%
1264,31,Values_ES,1.52%
1648,31,Values_IT,-1.05%
2032,31,Values_BRA,2.03%
113,32,Values_ARG,4.07%
497,32,Values_FR,-0.08%
881,32,Values_DE,-1.21%
1265,32,Values_ES,-0.87%
1649,32,Values_IT,0.34%
2033,32,Values_BRA,0.12%
114,33,Values_ARG,-9.73%
498,33,Values_FR,-9.73%
882,33,Values_DE,1.43%
1266,33,Values_ES,-3.21%
1650,33,Values_IT,0.60%
2034,33,Values_BRA,5.17%
115,34,Values_ARG,-0.08%
499,34,Values_FR,-0.08%
883,34,Values_DE,0.29%
1267,34,Values_ES,-0.31%
1651,34,Values_IT,-0.54%
2035,34,Values_BRA,-0.93%
116,35,Values_ARG,5.32%
500,35,Values_FR,0.65%
884,35,Values_DE,-1.44%
1268,35,Values_ES,-0.64%
1652,35,Values_IT,-0.02%
2036,35,Values_BRA,0.76%
117,36,Values_ARG,0.76%
501,36,Values_FR,0.54%
885,36,Values_DE,0.54%
1269,36,Values_ES,0.54%
1653,36,Values_IT,0.54%
2037,36,Values_BRA,0.54%
118,37,Values_ARG,0.54%
502,37,Values_FR,0.22%
886,37,Values_DE,0.22%
1270,37,Values_ES,0.22%
1654,37,Values_IT,0.22%
2038,37,Values_BRA,0.22%
119,38,Values_ARG,1.08%
503,38,Values_FR,-0.02%
887,38,Values_DE,1.68%
1271,38,Values_ES,-0.17%
1655,38,Values_IT,0.64%
2039,38,Values_BRA,-3.94%
120,39,Values_ARG,0.70%
504,39,Values_FR,0.24%
888,39,Values_DE,0.96%
1272,39,Values_ES,1.08%
1656,39,Values_IT,0.00%
2040,39,Values_BRA,3.45%
122,40,Values_ARG,3.16%
506,40,Values_FR,3.16%
890,40,Values_DE,-0.21%
1274,40,Values_ES,0.21%
1658,40,Values_IT,1.23%
2042,40,Values_BRA,1.40%
123,41,Values_ARG,0.55%
507,41,Values_FR,0.55%
891,41,Values_DE,0.93%
1275,41,Values_ES,-1.47%
1659,41,Values_IT,0.44%
2043,41,Values_BRA,3.49%
124,42,Values_ARG,-2.75%
508,42,Values_FR,0.86%
892,42,Values_DE,-0.66%
1276,42,Values_ES,-1.40%
1660,42,Values_IT,0.13%
2044,42,Values_BRA,-3.00%
125,43,Values_ARG,-3.00%
509,43,Values_FR,0.11%
893,43,Values_DE,0.11%
1277,43,Values_ES,0.11%
1661,43,Values_IT,0.11%
2045,43,Values_BRA,0.11%
126,44,Values_ARG,0.11%
510,44,Values_FR,0.30%
894,44,Values_DE,0.30%
1278,44,Values_ES,0.30%
1662,44,Values_IT,0.30%
2046,44,Values_BRA,0.30%
127,45,Values_ARG,-3.31%
511,45,Values_FR,-0.42%
895,45,Values_DE,1.83%
1279,45,Values_ES,1.26%
1663,45,Values_IT,-0.29%
2047,45,Values_BRA,-2.49%
128,46,Values_ARG,3.12%
512,46,Values_FR,-1.30%
896,46,Values_DE,0.82%
1280,46,Values_ES,-1.65%
1664,46,Values_IT,0.38%
2048,46,Values_BRA,-2.70%
129,47,Values_ARG,-0.98%
513,47,Values_FR,-0.98%
897,47,Values_DE,-0.19%
1281,47,Values_ES,-1.57%
1665,47,Values_IT,-0.79%
2049,47,Values_BRA,0.00%
130,48,Values_ARG,-0.88%
514,48,Values_FR,-0.88%
898,48,Values_DE,-1.12%
1282,48,Values_ES,1.12%
1666,48,Values_IT,1.04%
2050,48,Values_BRA,-0.23%
131,49,Values_ARG,-3.81%
515,49,Values_FR,0.13%
899,49,Values_DE,0.08%
1283,49,Values_ES,1.44%
1667,49,Values_IT,0.12%
2051,49,Values_BRA,3.98%
133,50,Values_ARG,3.98%
517,50,Values_FR,-1.31%
901,50,Values_DE,-1.31%
1285,50,Values_ES,-1.31%
1669,50,Values_IT,-1.31%
2053,50,Values_BRA,-1.31%
134,51,Values_ARG,-1.31%
518,51,Values_FR,-1.54%
902,51,Values_DE,-1.54%
1286,51,Values_ES,-1.54%
1670,51,Values_IT,-1.54%
2054,51,Values_BRA,-1.54%
135,52,Values_ARG,1.77%
519,52,Values_FR,-0.31%
903,52,Values_DE,0.09%
1287,52,Values_ES,-0.12%
1671,52,Values_IT,0.24%
2055,52,Values_BRA,-1.30%
136,53,Values_ARG,1.31%
520,53,Values_FR,0.16%
904,53,Values_DE,0.30%
1288,53,Values_ES,0.50%
1672,53,Values_IT,-0.02%
2056,53,Values_BRA,-1.97%
137,54,Values_ARG,1.35%
521,54,Values_FR,1.35%
905,54,Values_DE,1.26%
1289,54,Values_ES,3.51%
1673,54,Values_IT,0.51%
2057,54,Values_BRA,1.93%
138,55,Values_ARG,-0.75%
522,55,Values_FR,-0.75%
906,55,Values_DE,1.02%
1290,55,Values_ES,-0.07%
1674,55,Values_IT,-0.14%
2058,55,Values_BRA,2.88%
139,56,Values_ARG,0.67%
523,56,Values_FR,0.33%
907,56,Values_DE,0.23%
1291,56,Values_ES,0.59%
1675,56,Values_IT,0.58%
2059,56,Values_BRA,-1.12%
140,57,Values_ARG,-1.12%
524,57,Values_FR,0.27%
908,57,Values_DE,0.27%
1292,57,Values_ES,0.27%
1676,57,Values_IT,0.27%
2060,57,Values_BRA,0.27%
141,58,Values_ARG,0.27%
525,58,Values_FR,0.91%
909,58,Values_DE,0.91%
1293,58,Values_ES,0.91%
1677,58,Values_IT,0.91%
2061,58,Values_BRA,0.91%
142,59,Values_ARG,3.09%
526,59,Values_FR,-0.08%
910,59,Values_DE,0.11%
1294,59,Values_ES,0.22%
1678,59,Values_IT,0.15%
2062,59,Values_BRA,5.10%
144,60,Values_ARG,0.33%
528,60,Values_FR,0.46%
912,60,Values_DE,-0.49%
1296,60,Values_ES,-1.35%
1680,60,Values_IT,-0.22%
2064,60,Values_BRA,2.50%
145,61,Values_ARG,-1.35%
529,61,Values_FR,-1.35%
913,61,Values_DE,-0.11%
1297,61,Values_ES,1.02%
1681,61,Values_IT,-0.80%
2065,61,Values_BRA,0.08%
146,62,Values_ARG,0.89%
530,62,Values_FR,0.89%
914,62,Values_DE,-0.09%
1298,62,Values_ES,1.20%
1682,62,Values_IT,-0.55%
2066,62,Values_BRA,1.25%
147,63,Values_ARG,-3.21%
531,63,Values_FR,-0.07%
915,63,Values_DE,-0.41%
1299,63,Values_ES,-0.22%
1683,63,Values_IT,0.51%
2067,63,Values_BRA,-0.96%
148,64,Values_ARG,-0.96%
532,64,Values_FR,0.28%
916,64,Values_DE,0.28%
1300,64,Values_ES,0.28%
1684,64,Values_IT,0.28%
2068,64,Values_BRA,0.28%
149,65,Values_ARG,0.28%
533,65,Values_FR,0.56%
917,65,Values_DE,0.56%
1301,65,Values_ES,0.56%
1685,65,Values_IT,0.56%
2069,65,Values_BRA,0.56%
150,66,Values_ARG,0.56%
534,66,Values_FR,1.07%
918,66,Values_DE,0.09%
1302,66,Values_ES,0.71%
1686,66,Values_IT,-0.35%
2070,66,Values_BRA,-1.26%
151,67,Values_ARG,-1.26%
535,67,Values_FR,0.78%
919,67,Values_DE,-0.28%
1303,67,Values_ES,0.38%
1687,67,Values_IT,0.63%
2071,67,Values_BRA,-1.94%
152,68,Values_ARG,-1.71%
536,68,Values_FR,-1.71%
920,68,Values_DE,0.30%
1304,68,Values_ES,-0.51%
1688,68,Values_IT,0.16%
2072,68,Values_BRA,-1.41%
153,69,Values_ARG,1.34%
537,69,Values_FR,1.34%
921,69,Values_DE,1.41%
1305,69,Values_ES,-0.33%
1689,69,Values_IT,-0.14%
2073,69,Values_BRA,-3.17%
155,70,Values_ARG,0.13%
539,70,Values_FR,-0.33%
923,70,Values_DE,0.01%
1307,70,Values_ES,-1.20%
1691,70,Values_IT,-0.10%
2075,70,Values_BRA,-0.41%
156,71,Values_ARG,-0.41%
540,71,Values_FR,0.05%
924,71,Values_DE,0.05%
1308,71,Values_ES,0.05%
1692,71,Values_IT,0.05%
2076,71,Values_BRA,0.05%
157,72,Values_ARG,0.05%
541,72,Values_FR,0.61%
925,72,Values_DE,0.61%
1309,72,Values_ES,0.61%
1693,72,Values_IT,0.61%
2077,72,Values_BRA,0.61%
158,73,Values_ARG,0.86%
542,73,Values_FR,0.50%
926,73,Values_DE,-0.51%
1310,73,Values_ES,1.46%
1694,73,Values_IT,0.09%
2078,73,Values_BRA,2.45%
159,74,Values_ARG,-1.20%
543,74,Values_FR,-0.85%
927,74,Values_DE,-1.58%
1311,74,Values_ES,0.18%
1695,74,Values_IT,-0.65%
2079,74,Values_BRA,0.53%
160,75,Values_ARG,0.86%
544,75,Values_FR,0.86%
928,75,Values_DE,0.70%
1312,75,Values_ES,-1.93%
1696,75,Values_IT,1.09%
2080,75,Values_BRA,1.58%
161,76,Values_ARG,-2.74%
545,76,Values_FR,-2.74%
929,76,Values_DE,-1.57%
1313,76,Values_ES,-0.51%
1697,76,Values_IT,0.41%
2081,76,Values_BRA,0.22%
162,77,Values_ARG,1.28%
546,77,Values_FR,0.24%
930,77,Values_DE,-0.20%
1314,77,Values_ES,2.15%
1698,77,Values_IT,-1.01%
2082,77,Values_BRA,0.19%
163,78,Values_ARG,0.19%
547,78,Values_FR,-0.71%
931,78,Values_DE,-0.71%
1315,78,Values_ES,-0.71%
1699,78,Values_IT,-0.71%
2083,78,Values_BRA,-0.71%
164,79,Values_ARG,-0.71%
548,79,Values_FR,0.43%
932,79,Values_DE,0.43%
1316,79,Values_ES,0.43%
1700,79,Values_IT,0.43%
2084,79,Values_BRA,0.43%
166,80,Values_ARG,2.91%
550,80,Values_FR,-1.47%
934,80,Values_DE,-0.71%
1318,80,Values_ES,-1.07%
1702,80,Values_IT,0.07%
2086,80,Values_BRA,-4.03%
167,81,Values_ARG,-2.58%
551,81,Values_FR,-0.95%
935,81,Values_DE,0.55%
1319,81,Values_ES,-0.21%
1703,81,Values_IT,0.89%
2087,81,Values_BRA,-2.16%
168,82,Values_ARG,1.79%
552,82,Values_FR,1.79%
936,82,Values_DE,-0.97%
1320,82,Values_ES,-0.98%
1704,82,Values_IT,0.30%
2088,82,Values_BRA,-1.10%
169,83,Values_ARG,-1.34%
553,83,Values_FR,-1.34%
937,83,Values_DE,-1.99%
1321,83,Values_ES,0.26%
1705,83,Values_IT,0.26%
2089,83,Values_BRA,-1.66%
170,84,Values_ARG,-4.50%
554,84,Values_FR,-1.10%
938,84,Values_DE,-1.10%
1322,84,Values_ES,-0.61%
1706,84,Values_IT,0.12%
2090,84,Values_BRA,2.81%
171,85,Values_ARG,2.81%
555,85,Values_FR,0.35%
939,85,Values_DE,0.35%
1323,85,Values_ES,0.35%
1707,85,Values_IT,0.35%
2091,85,Values_BRA,0.35%
172,86,Values_ARG,0.35%
556,86,Values_FR,-2.11%
940,86,Values_DE,-2.11%
1324,86,Values_ES,-2.11%
1708,86,Values_IT,-2.11%
2092,86,Values_BRA,-2.11%
173,87,Values_ARG,-4.73%
557,87,Values_FR,-1.92%
941,87,Values_DE,0.15%
1325,87,Values_ES,-0.64%
1709,87,Values_IT,-0.08%
