,Relative_Date,Stock markets,Values
634,-156,Values_FR,-0.91%
1018,-156,Values_DE,-0.13%
1402,-156,Values_ES,-2.27%
1786,-156,Values_IT,0.85%
2170,-156,Values_BRA,2.00%
249,-155,Values_ARG,-1.71%
633,-155,Values_FR,-1.71%
1017,-155,Values_DE,1.54%
1401,-155,Values_ES,-5.94%
1785,-155,Values_IT,-1.34%
2169,-155,Values_BRA,-1.10%
248,-154,Values_ARG,3.69%
632,-154,Values_FR,1.20%
1016,-154,Values_DE,0.49%
1400,-154,Values_ES,-1.35%
1784,-154,Values_IT,-0.18%
2168,-154,Values_BRA,-0.18%
247,-153,Values_ARG,-0.18%
631,-153,Values_FR,-0.60%
1015,-153,Values_DE,-0.60%
1399,-153,Values_ES,-0.60%
1783,-153,Values_IT,-0.60%
2167,-153,Values_BRA,-0.60%
246,-152,Values_ARG,-0.60%
630,-152,Values_FR,1.10%
1014,-152,Values_DE,1.10%
1398,-152,Values_ES,1.10%
1782,-152,Values_IT,1.10%
2166,-152,Values_BRA,1.10%
245,-151,Values_ARG,1.17%
629,-151,Values_FR,1.11%
1013,-151,Values_DE,-0.13%
1397,-151,Values_ES,1.02%
1781,-151,Values_IT,1.25%
2165,-151,Values_BRA,-0.98%
244,-150,Values_ARG,1.65%
628,-150,Values_FR,1.13%
1012,-150,Values_DE,2.03%
1396,-150,Values_ES,0.68%
1780,-150,Values_IT,-0.41%
2164,-150,Values_BRA,-4.33%
242,-149,Values_ARG,-0.22%
626,-149,Values_FR,-0.22%
1010,-149,Values_DE,0.65%
1394,-149,Values_ES,1.75%
1778,-149,Values_IT,-0.17%
2162,-149,Values_BRA,0.02%
241,-148,Values_ARG,4.74%
625,-148,Values_FR,4.74%
1009,-148,Values_DE,0.60%
1393,-148,Values_ES,-1.66%
1777,-148,Values_IT,1.15%
2161,-148,Values_BRA,1.43%
240,-147,Values_ARG,1.64%
624,-147,Values_FR,-0.48%
1008,-147,Values_DE,0.68%
1392,-147,Values_ES,-0.55%
1776,-147,Values_IT,-0.95%
2160,-147,Values_BRA,-0.77%
239,-146,Values_ARG,-0.77%
623,-146,Values_FR,0.64%
1007,-146,Values_DE,0.64%
1391,-146,Values_ES,0.64%
1775,-146,Values_IT,0.64%
2159,-146,Values_BRA,0.64%
238,-145,Values_ARG,0.64%
622,-145,Values_FR,0.23%
1006,-145,Values_DE,0.23%
1390,-145,Values_ES,0.23%
1774,-145,Values_IT,0.23%
2158,-145,Values_BRA,0.23%
237,-144,Values_ARG,4.97%
621,-144,Values_FR,0.13%
1005,-144,Values_DE,-0.06%
1389,-144,Values_ES,0.67%
1773,-144,Values_IT,0.67%
2157,-144,Values_BRA,-1.17%
236,-143,Values_ARG,0.44%
620,-143,Values_FR,0.15%
1004,-143,Values_DE,0.03%
1388,-143,Values_ES,0.97%
1772,-143,Values_IT,-0.27%
2156,-143,Values_BRA,2.05%
235,-142,Values_ARG,5.27%
619,-142,Values_FR,5.27%
1003,-142,Values_DE,0.00%
1387,-142,Values_ES,1.01%
1771,-142,Values_IT,0.18%
2155,-142,Values_BRA,0.02%
234,-141,Values_ARG,0.82%
618,-141,Values_FR,0.82%
1002,-141,Values_DE,-0.43%
1386,-141,Values_ES,0.72%
1770,-141,Values_IT,0.81%
2154,-141,Values_BRA,-0.57%
233,-140,Values_ARG,-3.82%
617,-140,Values_FR,0.51%
1001,-140,Values_DE,0.40%
1385,-140,Values_ES,0.97%
1769,-140,Values_IT,0.45%
2153,-140,Values_BRA,-0.85%
231,-139,Values_ARG,-0.85%
615,-139,Values_FR,-0.01%
999,-139,Values_DE,-0.01%
1383,-139,Values_ES,-0.01%
1767,-139,Values_IT,-0.01%
2151,-139,Values_BRA,-0.01%
230,-138,Values_ARG,-0.01%
614,-138,Values_FR,-0.44%
998,-138,Values_DE,-0.44%
1382,-138,Values_ES,-0.44%
1766,-138,Values_IT,-0.44%
2150,-138,Values_BRA,-0.44%
229,-137,Values_ARG,-4.03%
613,-137,Values_FR,-1.09%
997,-137,Values_DE,0.54%
1381,-137,Values_ES,-0.99%
1765,-137,Values_IT,0.52%
2149,-137,Values_BRA,0.52%
228,-136,Values_ARG,0.94%
612,-136,Values_FR,-2.39%
996,-136,Values_DE,-0.10%
1380,-136,Values_ES,-2.44%
1764,-136,Values_IT,0.25%
2148,-136,Values_BRA,0.25%
227,-135,Values_ARG,1.43%
611,-135,Values_FR,1.43%
995,-135,Values_DE,-0.39%
1379,-135,Values_ES,-0.57%
1763,-135,Values_IT,1.03%
2147,-135,Values_BRA,2.40%
226,-134,Values_ARG,0.04%
610,-134,Values_FR,0.04%
994,-134,Values_DE,-0.76%
1378,-134,Values_ES,-1.25%
1762,-134,Values_IT,-0.27%
2146,-134,Values_BRA,8.26%
225,-133,Values_ARG,0.47%
609,-133,Values_FR,0.60%
993,-133,Values_DE,1.08%
1377,-133,Values_ES,2.05%
1761,-133,Values_IT,0.39%
2145,-133,Values_BRA,0.20%
224,-132,Values_ARG,0.20%
608,-132,Values_FR,0.06%
992,-132,Values_DE,0.06%
1376,-132,Values_ES,0.06%
1760,-132,Values_IT,0.06%
2144,-132,Values_BRA,0.06%
223,-131,Values_ARG,0.06%
607,-131,Values_FR,0.34%
991,-131,Values_DE,0.34%
1375,-131,Values_ES,0.34%
1759,-131,Values_IT,0.34%
2143,-131,Values_BRA,0.34%
222,-130,Values_ARG,2.44%
606,-130,Values_FR,1.28%
990,-130,Values_DE,-3.44%
1374,-130,Values_ES,0.98%
1758,-130,Values_IT,0.53%
2142,-130,Values_BRA,-6.25%
220,-129,Values_ARG,-1.64%
604,-129,Values_FR,0.39%
988,-129,Values_DE,2.46%
1372,-129,Values_ES,0.83%
1756,-129,Values_IT,-1.75%
2140,-129,Values_BRA,-0.89%
219,-128,Values_ARG,0.17%
603,-128,Values_FR,0.17%
987,-128,Values_DE,-0.49%
1371,-128,Values_ES,1.36%
1755,-128,Values_IT,0.42%
2139,-128,Values_BRA,2.26%
218,-127,Values_ARG,0.99%
602,-127,Values_FR,0.99%
986,-127,Values_DE,0.01%
1370,-127,Values_ES,0.76%
1754,-127,Values_IT,-1.27%
2138,-127,Values_BRA,1.69%
217,-126,Values_ARG,2.15%
601,-126,Values_FR,0.04%
985,-126,Values_DE,-2.01%
1369,-126,Values_ES,2.55%
1753,-126,Values_IT,0.16%
2137,-126,Values_BRA,0.22%
216,-125,Values_ARG,0.22%
600,-125,Values_FR,-0.64%
984,-125,Values_DE,-0.64%
1368,-125,Values_ES,-0.64%
1752,-125,Values_IT,-0.64%
2136,-125,Values_BRA,-0.64%
215,-124,Values_ARG,-0.64%
599,-124,Values_FR,-0.18%
983,-124,Values_DE,-0.18%
1367,-124,Values_ES,-0.18%
1751,-124,Values_IT,-0.18%
2135,-124,Values_BRA,-0.18%
214,-123,Values_ARG,-0.18%
598,-123,Values_FR,0.65%
982,-123,Values_DE,-0.91%
1366,-123,Values_ES,0.53%
1750,-123,Values_IT,0.89%
2134,-123,Values_BRA,3.26%
213,-122,Values_ARG,-0.95%
597,-122,Values_FR,0.29%
981,-122,Values_DE,0.46%
1365,-122,Values_ES,-0.68%
1749,-122,Values_IT,-0.55%
2133,-122,Values_BRA,-0.76%
212,-121,Values_ARG,0.94%
596,-121,Values_FR,0.94%
980,-121,Values_DE,-1.28%
1364,-121,Values_ES,1.07%
1748,-121,Values_IT,-0.42%
2132,-121,Values_BRA,1.89%
211,-120,Values_ARG,4.39%
595,-120,Values_FR,4.39%
979,-120,Values_DE,-1.86%
1363,-120,Values_ES,-0.68%
1747,-120,Values_IT,0.80%
2131,-120,Values_BRA,-0.84%
209,-119,Values_ARG,-0.37%
593,-119,Values_FR,-1.13%
977,-119,Values_DE,0.43%
1361,-119,Values_ES,0.29%
1745,-119,Values_IT,0.72%
2129,-119,Values_BRA,1.84%
208,-118,Values_ARG,1.84%
592,-118,Values_FR,0.57%
976,-118,Values_DE,0.57%
1360,-118,Values_ES,0.57%
1744,-118,Values_IT,0.57%
2128,-118,Values_BRA,0.57%
207,-117,Values_ARG,0.57%
591,-117,Values_FR,-0.24%
975,-117,Values_DE,-0.24%
1359,-117,Values_ES,-0.24%
1743,-117,Values_IT,-0.24%
2127,-117,Values_BRA,-0.24%
206,-116,Values_ARG,0.95%
590,-116,Values_FR,-1.38%
974,-116,Values_DE,1.37%
1358,-116,Values_ES,-1.08%
1742,-116,Values_IT,0.71%
2126,-116,Values_BRA,0.67%
205,-115,Values_ARG,3.59%
589,-115,Values_FR,-1.39%
973,-115,Values_DE,0.67%
1357,-115,Values_ES,0.93%
1741,-115,Values_IT,0.39%
2125,-115,Values_BRA,-2.51%
204,-114,Values_ARG,2.37%
588,-114,Values_FR,2.37%
972,-114,Values_DE,0.37%
1356,-114,Values_ES,0.97%
1740,-114,Values_IT,0.39%
2124,-114,Values_BRA,-2.13%
203,-113,Values_ARG,1.81%
587,-113,Values_FR,1.81%
971,-113,Values_DE,0.21%
1355,-113,Values_ES,-0.84%
1739,-113,Values_IT,0.11%
2123,-113,Values_BRA,-0.63%
202,-112,Values_ARG,-0.92%
586,-112,Values_FR,-0.57%
970,-112,Values_DE,0.50%
1354,-112,Values_ES,-0.75%
1738,-112,Values_IT,-0.44%
2122,-112,Values_BRA,1.60%
201,-111,Values_ARG,1.60%
585,-111,Values_FR,0.98%
969,-111,Values_DE,0.98%
1353,-111,Values_ES,0.98%
1737,-111,Values_IT,0.98%
2121,-111,Values_BRA,0.98%
200,-110,Values_ARG,0.98%
584,-110,Values_FR,0.29%
968,-110,Values_DE,0.29%
1352,-110,Values_ES,0.29%
1736,-110,Values_IT,0.29%
2120,-110,Values_BRA,0.29%
198,-109,Values_ARG,1.66%
582,-109,Values_FR,0.72%
966,-109,Values_DE,-1.65%
1350,-109,Values_ES,-1.17%
1734,-109,Values_IT,0.33%
2118,-109,Values_BRA,-1.82%
197,-108,Values_ARG,-1.86%
581,-108,Values_FR,-1.86%
965,-108,Values_DE,1.63%
1349,-108,Values_ES,1.24%
1733,-108,Values_IT,0.29%
2117,-108,Values_BRA,3.65%
196,-107,Values_ARG,-3.47%
580,-107,Values_FR,-3.47%
964,-107,Values_DE,1.18%
1348,-107,Values_ES,-1.18%
1732,-107,Values_IT,-0.22%
2116,-107,Values_BRA,0.07%
195,-106,Values_ARG,0.04%
579,-106,Values_FR,0.04%
963,-106,Values_DE,0.03%
1347,-106,Values_ES,2.07%
1731,-106,Values_IT,-0.72%
2115,-106,Values_BRA,-0.97%
194,-105,Values_ARG,-0.97%
578,-105,Values_FR,-0.97%
962,-105,Values_DE,1.44%
1346,-105,Values_ES,-0.18%
1730,-105,Values_IT,-0.17%
2114,-105,Values_BRA,1.97%
193,-104,Values_ARG,1.97%
577,-104,Values_FR,-0.29%
961,-104,Values_DE,-0.29%
1345,-104,Values_ES,-0.29%
1729,-104,Values_IT,-0.29%
2113,-104,Values_BRA,-0.29%
192,-103,Values_ARG,-0.29%
576,-103,Values_FR,-0.20%
960,-103,Values_DE,-0.20%
1344,-103,Values_ES,-0.20%
1728,-103,Values_IT,-0.20%
2112,-103,Values_BRA,-0.20%
191,-102,Values_ARG,1.44%
575,-102,Values_FR,2.62%
959,-102,Values_DE,-0.33%
1343,-102,Values_ES,0.18%
1727,-102,Values_IT,-1.22%
2111,-102,Values_BRA,-0.77%
190,-101,Values_ARG,-0.69%
574,-101,Values_FR,-0.35%
958,-101,Values_DE,0.50%
1342,-101,Values_ES,-0.99%
1726,-101,Values_IT,-0.71%
2110,-101,Values_BRA,-1.32%
189,-100,Values_ARG,2.69%
573,-100,Values_FR,2.69%
957,-100,Values_DE,0.20%
1341,-100,Values_ES,-1.00%
1725,-100,Values_IT,0.68%
2109,-100,Values_BRA,-0.08%
383,-99,Values_ARG,0.36%
767,-99,Values_FR,0.36%
1151,-99,Values_DE,0.06%
1535,-99,Values_ES,1.81%
1919,-99,Values_IT,1.34%
2303,-99,Values_BRA,-3.22%
382,-98,Values_ARG,2.21%
766,-98,Values_FR,0.10%
1150,-98,Values_DE,0.70%
1534,-98,Values_ES,0.70%
1918,-98,Values_IT,-0.73%
2302,-98,Values_BRA,-2.69%
381,-97,Values_ARG,-2.69%
765,-97,Values_FR,0.84%
1149,-97,Values_DE,0.84%
1533,-97,Values_ES,0.84%
1917,-97,Values_IT,0.84%
2301,-97,Values_BRA,0.84%
380,-96,Values_ARG,0.84%
764,-96,Values_FR,-0.56%
1148,-96,Values_DE,-0.56%
1532,-96,Values_ES,-0.56%
1916,-96,Values_IT,-0.56%
2300,-96,Values_BRA,-0.56%
379,-95,Values_ARG,0.05%
763,-95,Values_FR,0.59%
1147,-95,Values_DE,-1.91%
1531,-95,Values_ES,-1.91%
1915,-95,Values_IT,0.93%
2299,-95,Values_BRA,-0.89%
378,-94,Values_ARG,-1.22%
762,-94,Values_FR,0.11%
1146,-94,Values_DE,-0.21%
1530,-94,Values_ES,0.84%
1914,-94,Values_IT,-0.63%
2298,-94,Values_BRA,2.10%
377,-93,Values_ARG,2.66%
761,-93,Values_FR,2.66%
1145,-93,Values_DE,0.16%
1529,-93,Values_ES,0.28%
1913,-93,Values_IT,1.05%
2297,-93,Values_BRA,-0.56%
376,-92,Values_ARG,-1.35%
760,-92,Values_FR,-1.35%
1144,-92,Values_DE,-0.54%
1528,-92,Values_ES,-1.03%
1912,-92,Values_IT,-0.09%
2296,-92,Values_BRA,-1.76%
375,-91,Values_ARG,0.67%
759,-91,Values_FR,-0.04%
1143,-91,Values_DE,-1.47%
1527,-91,Values_ES,2.87%
1911,-91,Values_IT,-1.08%
2295,-91,Values_BRA,-1.08%
374,-90,Values_ARG,-1.08%
758,-90,Values_FR,0.76%
1142,-90,Values_DE,0.76%
1526,-90,Values_ES,0.76%
1910,-90,Values_IT,0.76%
2294,-90,Values_BRA,0.76%
372,-89,Values_ARG,0.76%
756,-89,Values_FR,0.50%
1140,-89,Values_DE,0.50%
1524,-89,Values_ES,0.50%
1908,-89,Values_IT,0.50%
2292,-89,Values_BRA,0.50%
371,-88,Values_ARG,3.10%
755,-88,Values_FR,0.21%
1139,-88,Values_DE,0.26%
1523,-88,Values_ES,0.58%
1907,-88,Values_IT,1.33%
2291,-88,Values_BRA,2.04%
370,-87,Values_ARG,-1.55%
754,-87,Values_FR,0.39%
1138,-87,Values_DE,-1.77%
1522,-87,Values_ES,0.00%
1906,-87,Values_IT,-2.18%
2290,-87,Values_BRA,-1.71%
369,-86,Values_ARG,-0.64%
753,-86,Values_FR,-0.64%
1137,-86,Values_DE,1.57%
1521,-86,Values_ES,0.37%
1905,-86,Values_IT,0.22%
2289,-86,Values_BRA,-1.41%
368,-85,Values_ARG,1.70%
752,-85,Values_FR,1.70%
1136,-85,Values_DE,0.99%
1520,-85,Values_ES,0.17%
1904,-85,Values_IT,-0.17%
2288,-85,Values_BRA,2.12%
367,-84,Values_ARG,-4.38%
751,-84,Values_FR,0.48%
1135,-84,Values_DE,0.48%
1519,-84,Values_ES,-2.29%
1903,-84,Values_IT,0.00%
2287,-84,Values_BRA,-1.11%
366,-83,Values_ARG,-1.11%
750,-83,Values_FR,0.10%
1134,-83,Values_DE,0.10%
1518,-83,Values_ES,0.10%
1902,-83,Values_IT,0.10%
2286,-83,Values_BRA,0.10%
365,-82,Values_ARG,0.10%
749,-82,Values_FR,-0.57%
1133,-82,Values_DE,-0.57%
1517,-82,Values_ES,-0.57%
1901,-82,Values_IT,-0.57%
2285,-82,Values_BRA,-0.57%
364,-81,Values_ARG,-3.35%
748,-81,Values_FR,0.74%
1132,-81,Values_DE,0.74%
1516,-81,Values_ES,-0.53%
1900,-81,Values_IT,0.00%
2284,-81,Values_BRA,-0.65%
363,-80,Values_ARG,-1.94%
747,-80,Values_FR,0.54%
1131,-80,Values_DE,2.02%
1515,-80,Values_ES,0.95%
1899,-80,Values_IT,-0.44%
2283,-80,Values_BRA,0.56%
361,-79,Values_ARG,1.88%
745,-79,Values_FR,1.88%
1129,-79,Values_DE,-0.58%
1513,-79,Values_ES,-2.13%
1897,-79,Values_IT,1.43%
2281,-79,Values_BRA,1.65%
360,-78,Values_ARG,-0.01%
744,-78,Values_FR,-0.01%
1128,-78,Values_DE,0.05%
1512,-78,Values_ES,-2.19%
1896,-78,Values_IT,0.80%
2280,-78,Values_BRA,-0.53%
359,-77,Values_ARG,0.80%
743,-77,Values_FR,0.68%
1127,-77,Values_DE,-1.54%
1511,-77,Values_ES,0.89%
1895,-77,Values_IT,0.38%
2279,-77,Values_BRA,2.75%
358,-75,Values_ARG,2.75%
742,-75,Values_FR,0.16%
1126,-75,Values_DE,0.16%
1510,-75,Values_ES,0.16%
1894,-75,Values_IT,0.16%
2278,-75,Values_BRA,0.16%
357,-74,Values_ARG,4.28%
741,-74,Values_FR,-0.50%
1125,-74,Values_DE,0.48%
1509,-74,Values_ES,0.19%
1893,-74,Values_IT,-1.19%
2277,-74,Values_BRA,-2.35%
356,-73,Values_ARG,-0.09%
740,-73,Values_FR,0.26%
1124,-73,Values_DE,1.46%
1508,-73,Values_ES,-4.19%
1892,-73,Values_IT,0.11%
2276,-73,Values_BRA,0.75%
355,-72,Values_ARG,1.24%
739,-72,Values_FR,1.24%
1123,-72,Values_DE,0.20%
1507,-72,Values_ES,-2.99%
1891,-72,Values_IT,0.69%
2275,-72,Values_BRA,1.52%
354,-71,Values_ARG,-1.42%
738,-71,Values_FR,-1.42%
1122,-71,Values_DE,-1.42%
1506,-71,Values_ES,2.69%
1890,-71,Values_IT,-0.55%
2274,-71,Values_BRA,0.68%
353,-70,Values_ARG,0.68%
737,-70,Values_FR,0.28%
1121,-70,Values_DE,-0.49%
1505,-70,Values_ES,0.49%
1889,-70,Values_IT,-0.94%
2273,-70,Values_BRA,-1.04%
351,-69,Values_ARG,-1.04%
735,-69,Values_FR,-0.17%
1119,-69,Values_DE,-0.17%
1503,-69,Values_ES,-0.17%
1887,-69,Values_IT,-0.17%
2271,-69,Values_BRA,-0.17%
350,-68,Values_ARG,-0.17%
734,-68,Values_FR,0.23%
1118,-68,Values_DE,0.23%
1502,-68,Values_ES,0.23%
1886,-68,Values_IT,0.23%
2270,-68,Values_BRA,0.23%
349,-67,Values_ARG,0.23%
733,-67,Values_FR,0.20%
1117,-67,Values_DE,-0.28%
1501,-67,Values_ES,-0.66%
1885,-67,Values_IT,0.00%
2269,-67,Values_BRA,-2.03%
348,-66,Values_ARG,-5.30%
732,-66,Values_FR,-0.07%
1116,-66,Values_DE,-0.65%
1500,-66,Values_ES,-5.41%
1884,-66,Values_IT,1.06%
2268,-66,Values_BRA,-0.56%
347,-65,Values_ARG,-0.43%
731,-65,Values_FR,-0.43%
1115,-65,Values_DE,0.57%
1499,-65,Values_ES,-2.27%
1883,-65,Values_IT,-0.69%
2267,-65,Values_BRA,1.38%
346,-64,Values_ARG,3.20%
730,-64,Values_FR,3.20%
1114,-64,Values_DE,0.90%
1498,-64,Values_ES,-2.93%
1882,-64,Values_IT,0.60%
2266,-64,Values_BRA,-1.05%
345,-63,Values_ARG,-2.47%
729,-63,Values_FR,-0.02%
1113,-63,Values_DE,-0.27%
1497,-63,Values_ES,-3.28%
1881,-63,Values_IT,0.69%
2265,-63,Values_BRA,-1.46%
344,-62,Values_ARG,-1.46%
728,-62,Values_FR,0.23%
1112,-62,Values_DE,0.23%
1496,-62,Values_ES,0.23%
1880,-62,Values_IT,0.23%
2264,-62,Values_BRA,0.23%
343,-61,Values_ARG,0.23%
727,-61,Values_FR,0.26%
1111,-61,Values_DE,0.26%
1495,-61,Values_ES,0.26%
1879,-61,Values_IT,0.26%
2263,-61,Values_BRA,0.26%
342,-60,Values_ARG,1.21%
726,-60,Values_FR,0.98%
1110,-60,Values_DE,1.26%
1494,-60,Values_ES,14.43%
1878,-60,Values_IT,0.40%
2262,-60,Values_BRA,0.27%
340,-59,Values_ARG,-1.02%
724,-59,Values_FR,-0.13%
1108,-59,Values_DE,0.54%
1492,-59,Values_ES,-3.32%
1876,-59,Values_IT,0.55%
2260,-59,Values_BRA,-0.28%
339,-58,Values_ARG,-0.77%
723,-58,Values_FR,-0.77%
1107,-58,Values_DE,0.00%
1491,-58,Values_ES,0.81%
1875,-58,Values_IT,-0.32%
2259,-58,Values_BRA,-0.32%
338,-57,Values_ARG,-0.25%
722,-57,Values_FR,-0.25%
1106,-57,Values_DE,-1.01%
1490,-57,Values_ES,-1.11%
1874,-57,Values_IT,-0.31%
2258,-57,Values_BRA,-4.25%
337,-56,Values_ARG,2.06%
721,-56,Values_FR,0.41%
1105,-56,Values_DE,-0.28%
1489,-56,Values_ES,-6.64%
1873,-56,Values_IT,-1.52%
