Date,Stock_ID,Stock_price
2022-11-01,ADDYY,48.59428787231445
2022-11-02,ADDYY,46.777587890625
2022-11-03,ADDYY,45.16936111450195
2022-11-04,ADDYY,56.48652267456055
2022-11-07,ADDYY,57.30056381225586
2022-11-08,ADDYY,60.00079345703125
2022-11-09,ADDYY,61.321128845214844
2022-11-10,ADDYY,64.95453643798828
2022-11-11,ADDYY,70.27558898925781
2022-11-14,ADDYY,67.505859375
2022-11-15,ADDYY,67.25767517089844
2022-11-16,ADDYY,66.83080291748047
2022-11-17,ADDYY,66.55284118652344
2022-11-18,ADDYY,66.2550048828125
2022-11-21,ADDYY,63.247032165527344
2022-11-22,ADDYY,63.20732116699219
2022-11-23,ADDYY,64.21991729736328
2022-11-25,ADDYY,63.892311096191406
2022-11-28,ADDYY,61.88698959350586
2022-11-29,ADDYY,62.135169982910156
2022-11-30,ADDYY,64.04122161865234
2022-12-01,ADDYY,65.28213500976562
2022-12-02,ADDYY,65.05380249023438
2022-12-05,ADDYY,63.683837890625
2022-12-06,ADDYY,61.64873123168945
2022-12-07,ADDYY,61.122581481933594
2022-12-08,ADDYY,61.589168548583984
2022-12-09,ADDYY,61.66858673095703
2022-12-12,ADDYY,61.73807907104492
2022-12-13,ADDYY,64.96446228027344
2022-12-14,ADDYY,65.01409912109375
2022-12-15,ADDYY,62.31386184692383
2022-12-16,ADDYY,63.74340057373047
2022-12-19,ADDYY,63.624267578125
2022-12-20,ADDYY,62.55211639404297
2022-12-21,ADDYY,66.21530151367188
2022-12-22,ADDYY,65.91748046875
2022-12-23,ADDYY,66.43370819091797
2022-12-27,ADDYY,66.69181823730469
2022-12-28,ADDYY,65.947265625
2022-12-29,ADDYY,67.83345794677734
2022-12-30,ADDYY,67.24774932861328
2022-11-01,KO,56.12992477416992
2022-11-02,KO,55.34877014160156
2022-11-03,KO,55.32053756713867
2022-11-04,KO,55.772281646728516
2022-11-07,KO,55.98875045776367
2022-11-08,KO,56.0922737121582
2022-11-09,KO,55.311126708984375
2022-11-10,KO,57.29694366455078
2022-11-11,KO,57.71104431152344
2022-11-14,KO,57.155765533447266
2022-11-15,KO,57.06166076660156
2022-11-16,KO,56.958133697509766
2022-11-17,KO,57.13694381713867
2022-11-18,KO,57.5416374206543
2022-11-21,KO,58.42631530761719
2022-11-22,KO,58.680419921875
2022-11-23,KO,58.94394302368164
2022-11-25,KO,59.00041580200195
2022-11-28,KO,59.00982666015625
2022-11-29,KO,58.80277633666992
2022-11-30,KO,60.29085159301758
2022-12-01,KO,60.461463928222656
2022-12-02,KO,60.99223327636719
2022-12-05,KO,60.15815734863281
2022-12-06,KO,60.12971878051758
2022-12-07,KO,60.22450256347656
2022-12-08,KO,60.48041534423828
2022-12-09,KO,59.845375061035156
2022-12-12,KO,60.6320686340332
2022-12-13,KO,60.65102005004883
2022-12-14,KO,60.65102005004883
2022-12-15,KO,59.81694030761719
2022-12-16,KO,59.47572708129883
2022-12-19,KO,59.56102752685547
2022-12-20,KO,59.51363754272461
2022-12-21,KO,60.47093200683594
2022-12-22,KO,60.034942626953125
2022-12-23,KO,60.489891052246094
2022-12-27,KO,60.85953903198242
2022-12-28,KO,60.252933502197266
2022-12-29,KO,60.61310958862305
2022-12-30,KO,60.29085159301758
2022-11-01,MCD,259.1328430175781
2022-11-02,MCD,256.6833801269531
2022-11-03,MCD,259.1328430175781
2022-11-04,MCD,260.71826171875
2022-11-07,MCD,262.4176330566406
2022-11-08,MCD,264.3069152832031
2022-11-09,MCD,263.7277526855469
2022-11-10,MCD,261.9144592285156
2022-11-11,MCD,257.65179443359375
2022-11-14,MCD,258.4873046875
2022-11-15,MCD,254.2814483642578
2022-11-16,MCD,258.7151184082031
