"MATCH_ID","SEASON","DATE_TIME","YEAR","HOME_TEAM","AWAY_TEAM","STADIUM","Cities","HOME_TEAM_SCORE","AWAY_TEAM_SCORE","Winner","PENALTY_SHOOT_OUT","ATTENDANCE"
"mt39","2021-2022","28-SEP-21 05.45.00.000000000 PM","2021","Shakhtar Donetsk","Inter","Olimpiyskyi","Kyiv","0","0","Draw","0","26170"
"mt40","2021-2022","28-SEP-21 08.00.00.000000000 PM","2021","Real Madrid","FC Sheriff","Santiago Bernabéu","Madrid","1","2","Away","0","24522"
"mt41","2021-2022","19-OCT-21 08.00.00.000000000 PM","2021","Shakhtar Donetsk","Real Madrid","Olimpiyskyi","Kyiv","0","5","Away","0","34037"
"mt42","2021-2022","19-OCT-21 08.00.00.000000000 PM","2021","Inter","FC Sheriff","Giuseppe Meazza","Milan","3","1","Home","0","43305"
"mt43","2021-2022","03-NOV-21 05.45.00.000000000 PM","2021","Real Madrid","Shakhtar Donetsk","Santiago Bernabéu","Madrid","2","1","Home","0","38105"
"mt44","2021-2022","03-NOV-21 08.00.00.000000000 PM","2021","FC Sheriff","Inter","Sheriff Stadium","Tiraspol","1","3","Away","0","5930"
"mt45","2021-2022","24-NOV-21 05.45.00.000000000 PM","2021","Inter","Shakhtar Donetsk","Giuseppe Meazza","Milan","2","0","Home","0","46225"
"mt46","2021-2022","24-NOV-21 08.00.00.000000000 PM","2021","FC Sheriff","Real Madrid","Sheriff Stadium","Tiraspol","0","3","Away","0","5932"
"mt47","2021-2022","07-DEC-21 08.00.00.000000000 PM","2021","Real Madrid","Inter","Santiago Bernabéu","Madrid","2","0","Home","0","46887"
"mt48","2021-2022","07-DEC-21 08.00.00.000000000 PM","2021","Shakhtar Donetsk","FC Sheriff","Olimpiyskyi","Kyiv","1","1","Draw","0","6841"
"mt49","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","FC Barcelona","Bayern München","Spotify Camp Nou","Barcelona","0","3","Away","0","39737"
"mt50","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","Dinamo Kyiv","SL Benfica","Olimpiyskyi","Kyiv","0","0","Draw","0","21657"
"mt51","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","SL Benfica","FC Barcelona","Estádio da Luz","Lisbon","3","0","Home","0","29454"
"mt52","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","Bayern München","Dinamo Kyiv","Allianz Arena","Munich","5","0","Home","0","25000"
"mt53","2021-2022","20-OCT-21 05.45.00.000000000 PM","2021","FC Barcelona","Dinamo Kyiv","Spotify Camp Nou","Barcelona","1","0","Home","0","45968"
"mt54","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","SL Benfica","Bayern München","Estádio da Luz","Lisbon","0","4","Away","0","50000"
"mt55","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Bayern München","SL Benfica","Allianz Arena","Munich","5","2","Home","0","50000"
"mt56","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Dinamo Kyiv","FC Barcelona","Olimpiyskyi","Kyiv","0","1","Away","0","31378"
"mt57","2021-2022","23-NOV-21 05.45.00.000000000 PM","2021","Dinamo Kyiv","Bayern München","Olimpiyskyi","Kyiv","1","2","Away","0","28732"
"mt58","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","FC Barcelona","SL Benfica","Spotify Camp Nou","Barcelona","0","0","Draw","0","49572"
"mt59","2021-2022","08-DEC-21 08.00.00.000000000 PM","2021","Bayern München","FC Barcelona","Allianz Arena","Munich","3","0","Home","0","0"
"mt60","2021-2022","08-DEC-21 08.00.00.000000000 PM","2021","SL Benfica","Dinamo Kyiv","Estádio da Luz","Lisbon","2","0","Home","0","37000"
"mt61","2021-2022","14-SEP-21 05.45.00.000000000 PM","2021","BSC Young Boys","Manchester United","Stadion Wankdorf","Bern","2","1","Home","0","31120"
"mt62","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","Villarreal CF","Atalanta","Estadio de la Cerámica","Villarreal","2","2","Draw","0","12916"
"mt63","2021-2022","29-SEP-21 05.45.00.000000000 PM","2021","Atalanta","BSC Young Boys","Gewiss Stadium","Bergamo","1","0","Home","0","8536"
"mt64","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","Manchester United","Villarreal CF","Old Trafford","Manchester","2","1","Home","0","73130"
"mt65","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","Manchester United","Atalanta","Old Trafford","Manchester","3","2","Home","0","72279"
"mt66","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","BSC Young Boys","Villarreal CF","Stadion Wankdorf","Bern","1","4","Away","0","27398"
"mt67","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Atalanta","Manchester United","Gewiss Stadium","Bergamo","2","2","Draw","0","14443"
"mt68","2021-2022","02-NOV-21 08.00.00.000000000 PM","2021","Villarreal CF","BSC Young Boys","Estadio de la Cerámica","Villarreal","2","0","Home","0","14890"
"mt69","2021-2022","23-NOV-21 05.45.00.000000000 PM","2021","Villarreal CF","Manchester United","Estadio de la Cerámica","Villarreal","0","2","Away","0","20875"
"mt70","2021-2022","23-NOV-21 08.00.00.000000000 PM","2021","BSC Young Boys","Atalanta","Stadion Wankdorf","Bern","3","3","Draw","0","31120"
"mt71","2021-2022","08-DEC-21 08.00.00.000000000 PM","2021","Manchester United","BSC Young Boys","Old Trafford","Manchester","1","1","Draw","0","73156"
"mt72","2021-2022","09-DEC-21 06.00.00.000000000 PM","2021","Atalanta","Villarreal CF","Gewiss Stadium","Bergamo","2","3","Away","0","11690"
"mt73","2021-2022","14-SEP-21 05.45.00.000000000 PM","2021","Sevilla FC","RB Salzburg","Ramón Sánchez Pizjuán","Sevilla","1","1","Draw","0","18373"
"mt74","2021-2022","14-SEP-21 08.00.00.000000000 PM","2021","Lille OSC","VfL Wolfsburg","Stade Pierre Mauroy","Villeneuve D’Ascq","0","0","Draw","0","34314"
"mt75","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","RB Salzburg","Lille OSC","Red Bull Arena","Leipzig","2","1","Home","0","24207"
"mt76","2021-2022","29-SEP-21 08.00.00.000000000 PM","2021","VfL Wolfsburg","Sevilla FC","Volkswagen Arena","Wolfsburg","1","1","Draw","0","11733"
"mt77","2021-2022","20-OCT-21 05.45.00.000000000 PM","2021","RB Salzburg","VfL Wolfsburg","Red Bull Arena","Leipzig","3","1","Home","0","27500"
"mt78","2021-2022","20-OCT-21 08.00.00.000000000 PM","2021","Lille OSC","Sevilla FC","Stade Pierre Mauroy","Villeneuve D’Ascq","0","0","Draw","0","34362"
