Monthly,average_price
2023-08,4.377787021630616
2023-09,4.670675944333996
2023-10,3.642372881355932
2023-11,3.6130573248407645
2023-12,3.5898972602739727
2024-01,3.4886397058823526
2024-02,3.57125
2024-03,3.766103286384977
2024-04,3.900114722753346
2024-05,3.843829365079365
2024-06,3.834943820224719
2024-07,3.7025652173913044
2024-08,3.6568172043010754
2024-09,3.686744791666667
2024-10,3.6572727272727277
2024-11,3.61352
