MATCH_ID,SEASON,DATE_TIME,YEAR,HOME_TEAM,AWAY_TEAM,STADIUM,name,HOME_TEAM_SCORE,AWAY_TEAM_SCORE,Winner,PENALTY_SHOOT_OUT,ATTENDANCE,lat,lng,country,admin1,admin2,Result,HomeWin,total_games,home_wins,home_win_percentage
mt1,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Manchester City,RB Leipzig,Etihad Stadium,Manchester,6,3,Home,0,38062,53.48095,-2.23743,GB,ENG,I2,Home win,True,45,31,68.88888888888889
mt2,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Brugge,1,1,Draw,0,27546,51.20892,3.22424,BE,VLG,VWV,Home loss,False,15,1,6.666666666666667
mt4,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,RB Leipzig,Club Brugge KV,Red Bull Arena,Leipzig,1,2,Away,0,23500,51.33962,12.37129,DE,13,00,Home loss,False,23,11,47.82608695652174
mt5,2021-2022,19-OCT-21 05.45.00.000000000 PM,2021,Club Brugge KV,Manchester City,Jan Breydel Stadion,Brugge,1,5,Away,0,24915,51.20892,3.22424,BE,VLG,VWV,Home loss,False,15,1,6.666666666666667
mt7,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,RB Leipzig,Paris Saint-Germain,Red Bull Arena,Leipzig,2,2,Draw,0,39794,51.33962,12.37129,DE,13,00,Home loss,False,23,11,47.82608695652174
mt8,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Manchester City,Club Brugge KV,Etihad Stadium,Manchester,4,1,Home,0,50228,53.48095,-2.23743,GB,ENG,I2,Home win,True,45,31,68.88888888888889
mt9,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Manchester City,Paris Saint-Germain,Etihad Stadium,Manchester,2,1,Home,0,52030,53.48095,-2.23743,GB,ENG,I2,Home win,True,45,31,68.88888888888889
mt10,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Club Brugge KV,RB Leipzig,Jan Breydel Stadion,Brugge,0,5,Away,0,24072,51.20892,3.22424,BE,VLG,VWV,Home loss,False,15,1,6.666666666666667
mt11,2021-2022,07-DEC-21 05.45.00.000000000 PM,2021,RB Leipzig,Manchester City,Red Bull Arena,Leipzig,2,1,Home,0,0,51.33962,12.37129,DE,13,00,Home win,True,23,11,47.82608695652174
mt13,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Atlético Madrid,FC Porto,Wanda Metropolitano,Madrid,0,0,Draw,0,40098,40.4165,-3.70256,ES,29,M,Home loss,False,58,33,56.896551724137936
mt14,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Liverpool FC,AC Milan,Anfield,Liverpool,3,2,Home,0,51445,53.41058,-2.97794,GB,ENG,H8,Home win,True,26,17,65.38461538461539
mt15,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,FC Porto,Liverpool FC,Estádio do Dragão,Porto,1,5,Away,0,23520,42.16737,-6.89934,ES,55,ZA,Home loss,False,42,24,57.14285714285714
mt15,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,FC Porto,Liverpool FC,Estádio do Dragão,Porto,1,5,Away,0,23520,41.14961,-8.61099,PT,17,1312,Home loss,False,42,24,57.14285714285714
mt17,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,Atlético Madrid,Liverpool FC,Wanda Metropolitano,Madrid,2,3,Away,0,60725,40.4165,-3.70256,ES,29,M,Home loss,False,58,33,56.896551724137936
mt18,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,FC Porto,AC Milan,Estádio do Dragão,Porto,1,0,Home,0,32130,42.16737,-6.89934,ES,55,ZA,Home win,True,42,24,57.14285714285714
mt18,2021-2022,19-OCT-21 08.00.00.000000000 PM,2021,FC Porto,AC Milan,Estádio do Dragão,Porto,1,0,Home,0,32130,41.14961,-8.61099,PT,17,1312,Home win,True,42,24,57.14285714285714
mt20,2021-2022,03-NOV-21 08.00.00.000000000 PM,2021,Liverpool FC,Atlético Madrid,Anfield,Liverpool,2,0,Home,0,51347,53.41058,-2.97794,GB,ENG,H8,Home win,True,26,17,65.38461538461539
mt21,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Liverpool FC,FC Porto,Anfield,Liverpool,2,0,Home,0,52209,53.41058,-2.97794,GB,ENG,H8,Home win,True,26,17,65.38461538461539
mt22,2021-2022,24-NOV-21 08.00.00.000000000 PM,2021,Atlético Madrid,AC Milan,Wanda Metropolitano,Madrid,0,1,Away,0,61019,40.4165,-3.70256,ES,29,M,Home loss,False,58,33,56.896551724137936
mt23,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,FC Porto,Atlético Madrid,Estádio do Dragão,Porto,1,3,Away,0,38830,42.16737,-6.89934,ES,55,ZA,Home loss,False,42,24,57.14285714285714
mt23,2021-2022,07-DEC-21 08.00.00.000000000 PM,2021,FC Porto,Atlético Madrid,Estádio do Dragão,Porto,1,3,Away,0,38830,41.14961,-8.61099,PT,17,1312,Home loss,False,42,24,57.14285714285714
mt26,2021-2022,15-SEP-21 08.00.00.000000000 PM,2021,Sporting CP,AFC Ajax,Estádio José Alvalade,Lisbon,1,5,Away,0,20382,38.71667,-9.13333,PT,14,1106,Home loss,False,35,12,34.285714285714285
mt27,2021-2022,28-SEP-21 05.45.00.000000000 PM,2021,AFC Ajax,Beşiktaş,Johan Cruijff ArenA,Amsterdam,2,0,Home,0,52628,52.37403,4.88969,NL,07,0363,Home win,True,16,7,43.75
mt28,2021-2022,28-SEP-21 08.00.00.000000000 PM,2021,Borussia Dortmund,Sporting CP,Signal Iduna Park,Dortmund,1,0,Home,0,25000,51.51494,7.466,DE,07,059,Home win,True,24,12,50.0
