ADDYY,KO,MCD,QAT
48.59428787,56.12992477416992,259.1328430175781,18.999361038208008
47,55.34877014160156,256.6833801269531,18.765687942504883
45.16936111450195,55.32053756713867,259.1328430175781,18.918474197387695
56.48652267456055,55.772281646728516,261,19.385820388793945
57.30056381225586,55.98875045776367,262.4176330566406,19.268985748291016
60.00079345703125,56,264.3069152832031,19.457717895507812
61.321128845214844,55.311126708984375,263.7277526855469,19.367843627929688
64.95453643798828,57.29694366455078,261.9144592285156,19.72734260559082
70.27558898925781,57.71104431152344,257.65179443359375,19.94843101501465
68,57.155765533447266,258,19.313920974731445
67.25767517089844,57.06166076660156,254.2814483642578,19.304933547973633
66.83080291748047,56.958133697509766,258.7151184082031,18.74771499633789
66.55284118652344,57.13694381713867,259.5220642089844,18.801637649536133
66,58,259.53155517578125,18.74591827392578
63.247032165527344,58.42631530761719,260.6233215332031,18.334293365478516
63.20732116699219,59,260.8511657714844,18.23723030090332
64.21991729736328,58.94394302368164,259.4366455078125,18.325307846069336
63.892311096191406,59.00041580200195,261.0789794921875,18.172521591186523
61.88698959350586,59.00982666015625,259.0663146972656,17.97479820251465
62.135169982910156,58.80277633666992,257.67071533203125,18.307334899902344
64.04122161865234,60.29085159301758,260,18
65.28213500976562,60.461463928222656,261.0218200683594,18.35226821899414
65.05380249023438,60.99223327636719,261.0218200683594,18.31631851196289
64,60.15815734863281,259.2937927246094,18.145557403564453
61.64873123168945,60.12971878051758,259.4656066894531,17.804035186767578
61.122581481933594,60.22450256347656,258.1003723144531,17.67821502685547
61.589168548583984,60.48041534423828,261.0123291015625,17.76808738708496
61.66858673095703,59.845375061035156,259.7234191894531,18
61.73807907104492,61,264.0960998535156,17.56138038635254
64.96446228027344,60.65102005004883,261.86199951171875,17.27378273010254
65.01409912109375,60.65102005004883,262.1007080078125,17
62.31386184692383,59.81694030761719,259.42742919921875,16.91202735900879
63.74340057373047,59.47572708129883,254.07144165039062,16.993425369262695
64,59.56102752685547,253.79457092285156,17.020553588867188
62.55211639404297,59.51363754272461,255.15025329589844,16.993425369262695
66.21530151367188,60.47093200683594,256.0190734863281,17
66,60.034942626953125,253.73728942871094,17.03864288330078
66.43370819091797,60.489891052246094,255.45582580566406,17.02959632873535
66.69181823730469,60.85953903198242,254.7588348388672,16.731149673461914
66,60.252933502197266,253.10714721679688,16.649757385253906
67.83345794677734,60.61310958862305,253.89004516601562,16.821590423583984
67.24774932861328,60.29085159301758,251.59872436523438,16.591875076293945
