Relative_Date,Stock markets,Values
-148,Values_FR,4.74
-148,Values_DE,0.6
-148,Values_ES,-1.66
-148,Values_IT,1.15
-148,Values_BRA,1.43
-147,Values_ARG,1.64
-147,Values_FR,-0.48
-147,Values_DE,0.68
-147,Values_ES,-0.55
-147,Values_IT,-0.95
-147,Values_BRA,-0.77
-146,Values_ARG,-0.77
-146,Values_FR,0.64
-146,Values_DE,0.64
-146,Values_ES,0.64
-146,Values_IT,0.64
-146,Values_BRA,0.64
-145,Values_ARG,0.64
-145,Values_FR,0.23
-145,Values_DE,0.23
-145,Values_ES,0.23
-145,Values_IT,0.23
-145,Values_BRA,0.23
-144,Values_ARG,4.97
-144,Values_FR,0.13
-144,Values_DE,-0.06
-144,Values_ES,0.67
-144,Values_IT,0.67
-144,Values_BRA,-1.17
-143,Values_ARG,0.44
-143,Values_FR,0.15
-143,Values_DE,0.03
-143,Values_ES,0.97
-143,Values_IT,-0.27
-143,Values_BRA,2.05
-142,Values_ARG,5.27
-142,Values_FR,5.27
-142,Values_DE,0
-142,Values_ES,1.01
-142,Values_IT,0.18
-142,Values_BRA,0.02
-141,Values_ARG,0.82
-141,Values_FR,0.82
-141,Values_DE,-0.43
-141,Values_ES,0.72
-141,Values_IT,0.81
-141,Values_BRA,-0.57
-140,Values_ARG,-3.82
-140,Values_FR,0.51
-140,Values_DE,0.4
-140,Values_ES,0.97
-140,Values_IT,0.45
-140,Values_BRA,-0.85
-139,Values_ARG,-0.85
-139,Values_FR,-0.01
-139,Values_DE,-0.01
-139,Values_ES,-0.01
-139,Values_IT,-0.01
-139,Values_BRA,-0.01
-138,Values_ARG,-0.01
-138,Values_FR,-0.44
-138,Values_DE,-0.44
-138,Values_ES,-0.44
-138,Values_IT,-0.44
-138,Values_BRA,-0.44
-137,Values_ARG,-4.03
-137,Values_FR,-1.09
-137,Values_DE,0.54
-137,Values_ES,-0.99
-137,Values_IT,0.52
-137,Values_BRA,0.52
-136,Values_ARG,0.94
-136,Values_FR,-2.39
-136,Values_DE,-0.1
-136,Values_ES,-2.44
-136,Values_IT,0.25
-136,Values_BRA,0.25
-135,Values_ARG,1.43
-135,Values_FR,1.43
-135,Values_DE,-0.39
-135,Values_ES,-0.57
-135,Values_IT,1.03
-135,Values_BRA,2.4
-134,Values_ARG,0.04
-134,Values_FR,0.04
-134,Values_DE,-0.76
-134,Values_ES,-1.25
-134,Values_IT,-0.27
-134,Values_BRA,8.26
-133,Values_ARG,0.47
-133,Values_FR,0.6
-133,Values_DE,1.08
-133,Values_ES,2.05
-133,Values_IT,0.39
-133,Values_BRA,0.2
-132,Values_ARG,0.2
-132,Values_FR,0.06
-132,Values_DE,0.06
-132,Values_ES,0.06
-132,Values_IT,0.06
-132,Values_BRA,0.06
-131,Values_ARG,0.06
-131,Values_FR,0.34
-131,Values_DE,0.34
-131,Values_ES,0.34
-131,Values_IT,0.34
-131,Values_BRA,0.34
-130,Values_ARG,2.44
-130,Values_FR,1.28
-130,Values_DE,-3.44
-130,Values_ES,0.98
-130,Values_IT,0.53
-130,Values_BRA,-6.25
-129,Values_ARG,-1.64
-129,Values_FR,0.39
-129,Values_DE,2.46
-129,Values_ES,0.83
-129,Values_IT,-1.75
-129,Values_BRA,-0.89
-128,Values_ARG,0.17
-128,Values_FR,0.17
-128,Values_DE,-0.49
-128,Values_ES,1.36
-128,Values_IT,0.42
-128,Values_BRA,2.26
-127,Values_ARG,0.99
-127,Values_FR,0.99
-127,Values_DE,0.01
-127,Values_ES,0.76
-127,Values_IT,-1.27
-127,Values_BRA,1.69
-126,Values_ARG,2.15
-126,Values_FR,0.04
-126,Values_DE,-2.01
-126,Values_ES,2.55
-126,Values_IT,0.16
-126,Values_BRA,0.22
-125,Values_ARG,0.22
-125,Values_FR,-0.64
-125,Values_DE,-0.64
-125,Values_ES,-0.64
-125,Values_IT,-0.64
-125,Values_BRA,-0.64
-124,Values_ARG,-0.64
-124,Values_FR,-0.18
-124,Values_DE,-0.18
-124,Values_ES,-0.18
-124,Values_IT,-0.18
-124,Values_BRA,-0.18
-123,Values_ARG,-0.18
-123,Values_FR,0.65
-123,Values_DE,-0.91
-123,Values_ES,0.53
-123,Values_IT,0.89
-123,Values_BRA,3.26
-122,Values_ARG,-0.95
-122,Values_FR,0.29
-122,Values_DE,0.46
-122,Values_ES,-0.68
-122,Values_IT,-0.55
-122,Values_BRA,-0.76
-121,Values_ARG,0.94
-121,Values_FR,0.94
-121,Values_DE,-1.28
-121,Values_ES,1.07
-121,Values_IT,-0.42
-121,Values_BRA,1.89
-120,Values_ARG,4.39
-120,Values_FR,4.39
-120,Values_DE,-1.86
-120,Values_ES,-0.68
-120,Values_IT,0.8
-120,Values_BRA,-0.84
-119,Values_ARG,-0.37
-119,Values_FR,-1.13
-119,Values_DE,0.43
-119,Values_ES,0.29
-119,Values_IT,0.72
-119,Values_BRA,1.84
-118,Values_ARG,1.84
-118,Values_FR,0.57
-118,Values_DE,0.57
-118,Values_ES,0.57
-118,Values_IT,0.57
-118,Values_BRA,0.57
-117,Values_ARG,0.57
-117,Values_FR,-0.24
-117,Values_DE,-0.24
-117,Values_ES,-0.24
-117,Values_IT,-0.24
-117,Values_BRA,-0.24
-116,Values_ARG,0.95
-116,Values_FR,-1.38
-116,Values_DE,1.37
-116,Values_ES,-1.08
-116,Values_IT,0.71
-116,Values_BRA,0.67
-115,Values_ARG,3.59
-115,Values_FR,-1.39
-115,Values_DE,0.67
-115,Values_ES,0.93
-115,Values_IT,0.39
-115,Values_BRA,-2.51
-114,Values_ARG,2.37
-114,Values_FR,2.37
-114,Values_DE,0.37
-114,Values_ES,0.97
-114,Values_IT,0.39
-114,Values_BRA,-2.13
-113,Values_ARG,1.81
-113,Values_FR,1.81
-113,Values_DE,0.21
-113,Values_ES,-0.84
-113,Values_IT,0.11
-113,Values_BRA,-0.63
-112,Values_ARG,-0.92
-112,Values_FR,-0.57
-112,Values_DE,0.5
-112,Values_ES,-0.75
-112,Values_IT,-0.44
-112,Values_BRA,1.6
-111,Values_ARG,1.6
-111,Values_FR,0.98
-111,Values_DE,0.98
-111,Values_ES,0.98
-111,Values_IT,0.98
-111,Values_BRA,0.98
-110,Values_ARG,0.98
-110,Values_FR,0.29
-110,Values_DE,0.29
-110,Values_ES,0.29
-110,Values_IT,0.29
-110,Values_BRA,0.29
-109,Values_ARG,1.66
-109,Values_FR,0.72
-109,Values_DE,-1.65
-109,Values_ES,-1.17
-109,Values_IT,0.33
-109,Values_BRA,-1.82
-108,Values_ARG,-1.86
-108,Values_FR,-1.86
-108,Values_DE,1.63
-108,Values_ES,1.24
-108,Values_IT,0.29
-108,Values_BRA,3.65
-107,Values_ARG,-3.47
-107,Values_FR,-3.47
-107,Values_DE,1.18
-107,Values_ES,-1.18
-107,Values_IT,-0.22
-107,Values_BRA,0.07
-106,Values_ARG,0.04
-106,Values_FR,0.04
-106,Values_DE,0.03
-106,Values_ES,2.07
-106,Values_IT,-0.72
-106,Values_BRA,-0.97
-105,Values_ARG,-0.97
-105,Values_FR,-0.97
-105,Values_DE,1.44
-105,Values_ES,-0.18
-105,Values_IT,-0.17
-105,Values_BRA,1.97
-104,Values_ARG,1.97
-104,Values_FR,-0.29
-104,Values_DE,-0.29
-104,Values_ES,-0.29
-104,Values_IT,-0.29
-104,Values_BRA,-0.29
-103,Values_ARG,-0.29
-103,Values_FR,-0.2
-103,Values_DE,-0.2
-103,Values_ES,-0.2
-103,Values_IT,-0.2
-103,Values_BRA,-0.2
-102,Values_ARG,1.44
-102,Values_FR,2.62
-102,Values_DE,-0.33
-102,Values_ES,0.18
-102,Values_IT,-1.22
-102,Values_BRA,-0.77
-101,Values_ARG,-0.69
-101,Values_FR,-0.35
-101,Values_DE,0.5
-101,Values_ES,-0.99
-101,Values_IT,-0.71
-101,Values_BRA,-1.32
-100,Values_ARG,2.69
-100,Values_FR,2.69
-100,Values_DE,0.2
-100,Values_ES,-1
-100,Values_IT,0.68
-100,Values_BRA,-0.08
-99,Values_ARG,0.36
-99,Values_FR,0.36
-99,Values_DE,0.06
-99,Values_ES,1.81
-99,Values_IT,1.34
-99,Values_BRA,-3.22
-98,Values_ARG,2.21
-98,Values_FR,0.1
-98,Values_DE,0.7
-98,Values_ES,0.7
-98,Values_IT,-0.73
-98,Values_BRA,-2.69
-97,Values_ARG,-2.69
-97,Values_FR,0.84
-97,Values_DE,0.84
-97,Values_ES,0.84
-97,Values_IT,0.84
-97,Values_BRA,0.84
-96,Values_ARG,0.84
-96,Values_FR,-0.56
-96,Values_DE,-0.56
