Date,New Cases per Day
3/18/2025,33
3/19/2025,61
3/20/2025,86
3/21/2025,112
3/22/2025,116
3/23/2025,129
3/24/2025,192
3/25/2025,174
3/26/2025,344
3/27/2025,304
3/28/2025,327
3/29/2025,246
3/30/2025,320
3/31/2025,339
4/1/2025,376
