Relative_Date,Stock markets,Values
-186,Merval,-1.35
-186,CAC40,-0.29
-186,DAX40,-0.08
-186,IBEX,1.72
-186,IT40,0.72
-186,IBOV,0.72
-185,Merval,-0.61
-185,CAC40,0.52
-185,DAX40,0.83
-185,IBEX,0.49
-185,IT40,0.36
-185,IBOV,0.36
-184,Merval,1.22
-184,CAC40,1.22
-184,DAX40,-0.09
-184,IBEX,0.15
-184,IT40,0.67
-184,IBOV,0.67
-183,Merval,-1.59
-183,CAC40,-1.59
-183,DAX40,-0.8
-183,IBEX,-0.46
-183,IT40,-0.69
-183,IBOV,-0.69
-182,Merval,-0.69
-182,CAC40,-0.13
-182,DAX40,0.55
-182,IBEX,-0.03
-182,IT40,0.78
-182,IBOV,0.78
-181,Merval,0.78
-181,CAC40,0.07
-181,DAX40,0.07
-181,IBEX,0.07
-181,IT40,0.07
-181,IBOV,0.07
-180,Merval,0.07
-180,CAC40,-0.36
-180,DAX40,-0.36
-180,IBEX,-0.36
-180,IT40,-0.36
-180,IBOV,-0.36
-179,Merval,-0.36
-179,CAC40,0.02
-179,DAX40,0.39
-179,IBEX,-0.73
-179,IT40,-0.38
-179,IBOV,-0.38
-178,Merval,-0.59
-178,CAC40,0.58
-178,DAX40,0.32
-178,IBEX,-0.9
-178,IT40,-0.22
-178,IBOV,-0.22
-177,Merval,-1.02
-177,CAC40,-1.02
-177,DAX40,2.03
-177,IBEX,-0.07
-177,IT40,1.11
-177,IBOV,2.26
-176,Merval,-2.91
-176,CAC40,-2.91
-176,DAX40,-0.17
-176,IBEX,0.35
-176,IT40,0.31
-176,IBOV,2.08
-175,Merval,-0.68
-175,CAC40,0.28
-175,DAX40,0.26
-175,IBEX,-1.29
-175,IT40,-1.08
-175,IBOV,1.01
-174,Merval,1.01
-174,CAC40,-0.12
-174,DAX40,-0.12
-174,IBEX,-0.12
-174,IT40,-0.12
-174,IBOV,-0.12
-173,Merval,-0.12
-173,CAC40,-0.72
-173,DAX40,-0.72
-173,IBEX,-0.72
-173,IT40,-0.72
-173,IBOV,-0.72
-172,Merval,3.76
-172,CAC40,-0.25
-172,DAX40,-0.28
-172,IBEX,0.22
-172,IT40,1
-172,IBOV,0.29
-171,Merval,2.9
-171,CAC40,0.87
-171,DAX40,0.15
-171,IBEX,1.28
-171,IT40,-0.75
-171,IBOV,-1.96
-170,Merval,-0.07
-170,CAC40,-0.07
-170,DAX40,-0.1
-170,IBEX,-2.61
-170,IT40,-0.9
-170,IBOV,-1.06
-169,Merval,0.36
-169,CAC40,0.36
-169,DAX40,-0.92
-169,IBEX,-2.26
-169,IT40,0.17
-169,IBOV,-2.88
-168,Merval,1.81
-168,CAC40,-0.14
-168,DAX40,-2.48
-168,IBEX,-0.62
-168,IT40,-1.12
-168,IBOV,-0.13
-167,Merval,-0.13
-167,CAC40,-0.87
-167,DAX40,-0.87
-167,IBEX,-0.87
